Time [s],Voltage [V]
0.02,-2.64
0.04,-2.66
0.06,-2.66
0.08,-2.62
0.1,-2.7
0.12,-2.72
0.14,-2.66
0.16,-2.64
0.18,-2.68
0.2,-2.72
0.22,-2.76
0.24,-2.76
0.26,-2.72
0.28,-2.7
0.3,-2.78
0.32,-2.8
0.34,-2.76
0.36,-2.76
0.38,-2.8
0.4,-2.84
0.42,-2.86
0.44,-2.86
0.46,-2.84
0.48,-2.82
0.5,-2.9
0.52,-2.94
0.54,-2.88
0.56,-2.88
0.58,-2.9
0.6,-2.96
0.62,-3
0.64,-3.02
0.66,-2.98
0.68,-2.98
0.7,-3.04
0.72,-3.08
0.74,-3.06
0.76,-3.04
0.78,-3.06
0.8,-3.08
0.82,-3.1
0.84,-3.12
0.86,-3.1
0.88,-3.1
0.9,-3.18
0.92,-3.2
0.94,-3.18
0.96,-3.14
0.98,-3.18
1,-3.2
1.02,-3.26
1.04,-3.26
1.06,-3.22
1.08,-3.24
1.1,-3.36
1.12,-3.4
1.14,-3.34
1.16,-3.32
1.18,-3.36
1.2,-3.38
1.22,-3.42
1.24,-3.42
1.26,-3.4
1.28,-3.38
1.3,-3.46
1.32,-3.48
1.34,-3.46
1.36,-3.44
1.38,-3.48
1.4,-3.52
1.42,-3.54
1.44,-3.54
1.46,-3.52
1.48,-3.52
1.5,-3.56
1.52,-3.62
1.54,-3.64
1.56,-3.68
1.58,-3.68
1.6,-3.66
1.62,-3.66
1.64,-3.66
1.66,-3.66
1.68,-3.66
1.7,-3.72
1.72,-3.74
1.74,-3.7
1.76,-3.66
1.78,-3.7
1.8,-3.72
1.82,-3.76
1.84,-3.76
1.86,-3.74
1.88,-3.74
1.9,-3.76
1.92,-3.78
1.94,-3.78
1.96,-3.78
1.98,-3.82
2,-3.86
2.02,-3.88
2.04,-3.88
2.06,-3.86
2.08,-3.84
2.1,-3.86
2.12,-3.9
2.14,-3.86
2.16,-3.84
2.18,-3.86
2.2,-3.92
2.22,-3.92
2.24,-3.94
2.26,-3.9
2.28,-3.92
2.3,-3.94
2.32,-3.98
2.34,-3.96
2.36,-3.94
2.38,-3.98
2.4,-4
2.42,-3.98
2.44,-3.98
2.46,-3.94
2.48,-3.96
2.5,-3.98
2.52,-4
2.54,-3.98
2.56,-3.98
2.58,-3.98
2.6,-4
2.62,-4.02
2.64,-4
2.66,-3.96
2.68,-3.98
2.7,-4
2.72,-4
2.74,-4
2.76,-3.94
2.78,-3.96
2.8,-4
2.82,-4.02
2.84,-3.98
2.86,-3.98
2.88,-3.94
2.9,-3.98
2.92,-4
2.94,-3.98
2.96,-3.92
2.98,-3.94
3,-3.96
3.02,-3.96
3.04,-3.96
3.06,-3.94
3.08,-3.94
3.1,-3.94
3.12,-3.94
3.14,-3.92
3.16,-3.88
3.18,-3.9
3.2,-3.92
3.22,-3.92
3.24,-3.92
3.26,-3.86
3.28,-3.84
3.3,-3.86
3.32,-3.88
3.34,-3.8
3.36,-3.78
3.38,-3.78
3.4,-3.8
3.42,-3.78
3.44,-3.8
3.46,-3.78
3.48,-3.78
3.5,-3.8
3.52,-3.8
3.54,-3.74
3.56,-3.7
3.58,-3.72
3.6,-3.74
3.62,-3.74
3.64,-3.72
3.66,-3.68
3.68,-3.68
3.7,-3.66
3.72,-3.68
3.74,-3.64
3.76,-3.6
3.78,-3.6
3.8,-3.64
3.82,-3.62
3.84,-3.6
3.86,-3.58
3.88,-3.56
3.9,-3.56
3.92,-3.6
3.94,-3.52
3.96,-3.48
3.98,-3.48
4,-3.48
4.02,-3.48
4.04,-3.44
4.06,-3.42
4.08,-3.42
4.1,-3.5
4.12,-3.48
4.14,-3.42
4.16,-3.36
4.18,-3.38
4.2,-3.34
4.22,-3.36
4.24,-3.4
4.26,-3.42
4.28,-3.42
4.3,-3.42
4.32,-3.42
4.34,-3.4
4.36,-3.38
4.38,-3.34
4.4,-3.32
4.42,-3.34
4.44,-3.32
4.46,-3.3
4.48,-3.28
4.5,-3.28
4.52,-3.28
4.54,-3.26
4.56,-3.26
4.58,-3.26
4.6,-3.24
4.62,-3.24
4.64,-3.22
4.66,-3.22
4.68,-3.18
4.7,-3.18
4.72,-3.18
4.74,-3.18
4.76,-3.2
4.78,-3.16
4.8,-3.18
4.82,-3.18
4.84,-3.16
4.86,-3.1
4.88,-3.1
4.9,-3.1
4.92,-3.1
4.94,-3.1
4.96,-3.08
4.98,-3.08
5,-3.08
5.02,-3.06
5.04,-3.08
5.06,-3.08
5.08,-3.08
5.1,-3.08
5.12,-3.06
5.14,-3.08
5.16,-3.04
5.18,-3.04
5.2,-3.06
5.22,-3.08
5.24,-3.08
5.26,-3.04
5.28,-3.04
5.3,-3.04
5.32,-3.06
5.34,-3.06
5.36,-3.1
5.38,-3.1
5.4,-3.1
5.42,-3.06
5.44,-3.04
5.46,-3.06
5.48,-3.08
5.5,-3.1
5.52,-3.1
5.54,-3.08
5.56,-3.06
5.58,-3.06
5.6,-3.06
5.62,-3.06
5.64,-3.02
5.66,-3.04
5.68,-3.04
5.7,-3.08
5.72,-3.06
5.74,-3.04
5.76,-3.04
5.78,-3.04
5.8,-3.04
5.82,-3.04
5.84,-3.04
5.86,-3.06
5.88,-3.04
5.9,-3.02
5.92,-3
5.94,-2.98
5.96,-2.96
5.98,-3
6,-3
6.02,-3
6.04,-3.02
6.06,-3
6.08,-3
6.1,-3
6.12,-3
6.14,-2.98
6.16,-3
6.18,-3
6.2,-2.98
6.22,-3
6.24,-3
6.26,-3
6.28,-3
6.3,-3
6.32,-3
6.34,-2.98
6.36,-2.96
6.38,-2.98
6.4,-2.96
6.42,-2.98
6.44,-2.96
6.46,-2.98
6.48,-2.96
6.5,-3
6.52,-3
6.54,-2.98
6.56,-2.96
6.58,-2.94
6.6,-2.98
6.62,-2.96
6.64,-2.96
6.66,-2.96
6.68,-2.96
6.7,-3
6.72,-3
6.74,-2.94
6.76,-2.96
6.78,-3
6.8,-2.96
6.82,-2.98
6.84,-2.98
6.86,-2.96
6.88,-2.96
6.9,-2.94
6.92,-2.94
6.94,-2.94
6.96,-2.96
6.98,-2.98
7,-2.96
7.02,-2.94
7.04,-2.92
7.06,-2.96
7.08,-2.94
7.1,-2.96
7.12,-2.96
7.14,-2.96
7.16,-2.92
7.18,-2.94
7.2,-2.94
7.22,-2.94
7.24,-2.94
7.26,-2.94
7.28,-2.92
7.3,-2.92
7.32,-2.92
7.34,-2.9
7.36,-2.92
7.38,-2.9
7.4,-2.9
7.42,-2.9
7.44,-2.88
7.46,-2.88
7.48,-2.88
7.5,-2.88
7.52,-2.88
7.54,-2.88
7.56,-2.86
7.58,-2.86
7.6,-2.9
7.62,-2.88
7.64,-2.86
7.66,-2.86
7.68,-2.88
7.7,-2.88
7.72,-2.88
7.74,-2.86
7.76,-2.88
7.78,-2.86
7.8,-2.86
7.82,-2.86
7.84,-2.86
7.86,-2.86
7.88,-2.82
7.9,-2.86
7.92,-2.92
7.94,-2.92
7.96,-2.88
7.98,-2.86
8,-2.86
8.02,-2.84
8.04,-2.84
8.06,-2.86
8.08,-2.86
8.1,-2.84
8.12,-2.82
8.14,-2.8
8.16,-2.8
8.18,-2.82
8.2,-2.78
8.22,-2.78
8.24,-2.78
8.26,-2.8
8.28,-2.78
8.3,-2.76
8.32,-2.8
8.34,-2.76
8.36,-2.78
8.38,-2.76
8.4,-2.76
8.42,-2.78
8.44,-2.78
8.46,-2.76
8.48,-2.76
8.5,-2.76
8.52,-2.76
8.54,-2.76
8.56,-2.76
8.58,-2.78
8.6,-2.76
8.62,-2.76
8.64,-2.76
8.66,-2.76
8.68,-2.74
8.7,-2.76
8.72,-2.74
8.74,-2.74
8.76,-2.76
8.78,-2.76
8.8,-2.74
8.82,-2.76
8.84,-2.76
8.86,-2.74
8.88,-2.74
8.9,-2.76
8.92,-2.78
8.94,-2.76
8.96,-2.76
8.98,-2.76
9,-2.76
9.02,-2.78
9.04,-2.78
9.06,-2.76
9.08,-2.76
9.1,-2.76
9.12,-2.76
9.14,-2.8
9.16,-2.82
9.18,-2.8
9.2,-2.82
9.22,-2.82
9.24,-2.78
9.26,-2.76
9.28,-2.78
9.3,-2.78
9.32,-2.8
9.34,-2.82
9.36,-2.84
9.38,-2.84
9.4,-2.82
9.42,-2.82
9.44,-2.84
9.46,-2.86
9.48,-2.86
9.5,-2.86
9.52,-2.88
9.54,-2.9
9.56,-2.9
9.58,-2.9
9.6,-2.92
9.62,-2.88
9.64,-2.92
9.66,-2.92
9.68,-2.9
9.7,-2.92
9.72,-2.94
9.74,-2.96
9.76,-2.96
9.78,-2.98
9.8,-2.96
9.82,-2.96
9.84,-3
9.86,-3
9.88,-2.98
9.9,-2.98
9.92,-3
9.94,-3
9.96,-3
9.98,-3
10,-3
10.02,-3.02
10.04,-3.04
10.06,-3.08
10.08,-3.04
10.1,-3.1
10.12,-3.1
10.14,-3.1
10.16,-3.1
10.18,-3.1
10.2,-3.1
10.22,-3.12
10.24,-3.2
10.26,-3.42
10.28,-3.62
10.3,-3.7
10.32,-3.76
10.34,-3.7
10.36,-3.7
10.38,-3.7
10.4,-3.68
10.42,-3.68
10.44,-3.7
10.46,-3.7
10.48,-3.66
10.5,-3.62
10.52,-3.66
10.54,-3.66
10.56,-3.66
10.58,-3.66
10.6,-3.68
10.62,-3.68
10.64,-3.68
10.66,-3.68
10.68,-3.7
10.7,-3.7
10.72,-3.68
10.74,-3.68
10.76,-3.7
10.78,-3.7
10.8,-3.68
10.82,-3.7
10.84,-3.72
10.86,-3.72
10.88,-3.7
10.9,-3.68
10.92,-3.7
10.94,-3.72
10.96,-3.72
10.98,-3.74
11,-3.7
11.02,-3.7
11.04,-3.68
11.06,-3.7
11.08,-3.7
11.1,-3.66
11.12,-3.66
11.14,-3.66
11.16,-3.64
11.18,-3.66
11.2,-3.64
11.22,-3.64
11.24,-3.64
11.26,-3.64
11.28,-3.66
11.3,-3.62
11.32,-3.6
11.34,-3.64
11.36,-3.64
11.38,-3.64
11.4,-3.62
11.42,-3.62
11.44,-3.6
11.46,-3.6
11.48,-3.6
11.5,-3.62
11.52,-3.6
11.54,-3.6
11.56,-3.56
11.58,-3.58
11.6,-3.56
11.62,-3.58
11.64,-3.54
11.66,-3.56
11.68,-3.52
11.7,-3.52
11.72,-3.52
11.74,-3.48
11.76,-3.48
11.78,-3.5
11.8,-3.5
11.82,-3.5
11.84,-3.46
11.86,-3.46
11.88,-3.44
11.9,-3.44
11.92,-3.42
11.94,-3.42
11.96,-3.42
11.98,-3.4
12,-3.4
12.02,-3.38
12.04,-3.34
12.06,-3.34
12.08,-3.32
12.1,-3.34
12.12,-3.36
12.14,-3.36
12.16,-3.3
12.18,-3.3
12.2,-3.3
12.22,-3.36
12.24,-3.32
12.26,-3.3
12.28,-3.28
12.3,-3.26
12.32,-3.26
12.34,-3.22
12.36,-3.24
12.38,-3.2
12.4,-3.22
12.42,-3.2
12.44,-3.18
12.46,-3.18
12.48,-3.22
12.5,-3.2
12.52,-3.18
12.54,-3.16
12.56,-3.14
12.58,-3.14
12.6,-3.16
12.62,-3.12
12.64,-3.14
12.66,-3.12
12.68,-3.1
12.7,-3.1
12.72,-3.1
12.74,-3.1
12.76,-3.1
12.78,-3.08
12.8,-3.08
12.82,-3.08
12.84,-3.1
12.86,-3.1
12.88,-3.08
12.9,-3.04
12.92,-3.04
12.94,-3.04
12.96,-3.02
12.98,-3
13,-3
13.02,-3.02
13.04,-3.06
13.06,-3.08
13.08,-3.06
13.1,-3.04
13.12,-3.02
13.14,-3
13.16,-3.02
13.18,-3.02
13.2,-3.1
13.22,-3.02
13.24,-3
13.26,-2.98
13.28,-2.96
13.3,-2.96
13.32,-2.96
13.34,-2.98
13.36,-3
13.38,-2.98
13.4,-2.94
13.42,-2.98
13.44,-2.98
13.46,-2.98
