Time [s],Voltage [V]
,
1.06,-1.6
1.064,-2.8
1.068,-4
1.072,-4.6
1.076,-5.4
1.08,-5.6
1.084,-5.6
1.088,-5.8
1.092,-5.4
1.096,-5.2
1.1,-4.6
1.104,-4.2
1.108,-3.8
1.112,-3.2
1.116,-2.8
1.12,-2.4
1.124,-2
1.128,-1.8
1.132,-1.4
1.136,-1.4
1.14,-1.2
1.144,-1
1.148,-1
1.152,-1
1.156,-1
1.16,-0.8
1.164,-0.8
1.168,-1
1.172,-0.8
1.176,-1
1.18,-1
1.184,-1.2
1.188,-1.4
1.192,-1.6
1.196,-1.8
1.2,-2.2
1.204,-2.6
1.208,-3
1.212,-3.6
1.216,-4.6
1.22,-5.6
1.224,-6.6
1.228,-7.6
1.232,-8.2
1.236,-8.8
1.24,-8.8
1.244,-8.8
1.248,-8.6
1.252,-8.6
1.256,-7.8
1.26,-7.2
1.264,-6.6
1.268,-6
1.272,-5.2
1.276,-4.8
1.28,-4.2
1.284,-3.8
1.288,-3.2
1.292,-2.8
1.296,-2.6
1.3,-2.2
1.304,-2
1.308,-1.8
1.312,-1.6
1.316,-1.6
1.32,-1.4
1.324,-1.4
1.328,-1.4
1.332,-1.2
1.336,-1.2
1.34,-1.2
1.344,-1.2
1.348,-1.4
1.352,-1.4
1.356,-1.4
1.36,-1.4
1.364,-1.4
1.368,-1.4
1.372,-1.4
1.376,-1.4
1.38,-1.4
1.384,-1.6
1.388,-1.4
1.392,-1.6
1.396,-1.4
1.4,-1.4
1.404,-1.4
1.408,-1.6
1.412,-1.6
1.416,-1.6
1.42,-1.8
1.424,-2
1.428,-1.8
1.432,-1.8
1.436,-2.2
1.44,-2.2
1.444,-2.2
1.448,-2.4
1.452,-2.8
1.456,-3
1.46,-3.6
1.464,-4.2
1.468,-4.6
1.472,-5.2
1.476,-5.6
1.48,-5.8
1.484,-6.2
1.488,-6
1.492,-6
1.496,-5.8
1.5,-5.6
1.504,-5.2
1.508,-5
1.512,-4.4
1.516,-4.4
1.52,-4
1.524,-3.6
1.528,-3.4
1.532,-3.2
1.536,-3
1.54,-2.8
1.544,-3
1.548,-2.8
1.552,-2.8
1.556,-2.4
1.56,-2.6
1.564,-2.6
1.568,-2.4
1.572,-2.6
1.576,-2.6
1.58,-2.6
1.584,-2.8
1.588,-3
1.592,-2.8
1.596,-2.8
1.6,-3
1.604,-3
1.608,-3
1.612,-3
1.616,-3
1.62,-3.2
1.624,-3.2
1.628,-3.4
1.632,-3.4
1.636,-3.4
1.64,-3.6
1.644,-3.4
1.648,-3.6
1.652,-3.8
1.656,-3.8
1.66,-4
1.664,-4.2
1.668,-4.2
1.672,-4.2
1.676,-4.4
1.68,-4.4
1.684,-4.6
1.688,-4.6
1.692,-5
1.696,-5
1.7,-5
1.704,-5.2
1.708,-5.2
1.712,-5.4
1.716,-5.6
1.72,-5.6
1.724,-5.6
1.728,-6
1.732,-6
1.736,-6.2
1.74,-6.6
1.744,-6.4
1.748,-6.8
1.752,-7
1.756,-7
1.76,-7
1.764,-7.4
1.768,-7.6
1.772,-7.8
1.776,-8.2
1.78,-8.2
1.784,-8.4
1.788,-8.6
1.792,-8.8
1.796,-8.8
1.8,-9.4
1.804,-9.6
1.808,-9.8
1.812,-10
1.816,-10.2
1.82,-10.4
1.824,-10.8
1.828,-10.8
1.832,-11.2
1.836,-11.6
1.84,-11.6
1.844,-12.2
1.848,-12.2
1.852,-12.6
1.856,-13
1.86,-13
1.864,-13.2
1.868,-13.6
1.872,-14
1.876,-14
1.88,-14.4
1.884,-14.6
1.888,-14.8
1.892,-15
1.896,-15.2
1.9,-15.4
1.904,-15.6
1.908,-15.6
1.912,-15.8
1.916,-16
1.92,-16.2
1.924,-16.2
1.928,-16.2
1.932,-16.4
1.936,-16.4
1.94,-16.4
1.944,-16.4
1.948,-16.6
1.952,-16.4
1.956,-16.4
1.96,-16.2
1.964,-16
1.968,-16
1.972,-15.6
1.976,-15.6
1.98,-15.4
1.984,-15.2
1.988,-15
1.992,-14.8
1.996,-14.4
2,-14.4
2.004,-14.2
2.008,-14
2.012,-13.6
2.016,-13.4
2.02,-13
2.024,-12.8
2.028,-12.6
2.032,-12.4
2.036,-12.2
2.04,-11.8
2.044,-11.2
2.048,-11.2
2.052,-10.8
2.056,-10.6
2.06,-10.6
2.064,-10
2.068,-10
2.072,-9.6
2.076,-9.4
2.08,-9.2
2.084,-8.8
2.088,-8.8
2.092,-8.4
2.096,-8.2
2.1,-8
2.104,-7.8
2.108,-7.6
2.112,-7.4
2.116,-7.2
2.12,-7
2.124,-6.8
2.128,-6.6
2.132,-6.6
2.136,-6.4
2.14,-6
2.144,-6
2.148,-6
2.152,-5.8
2.156,-5.6
2.16,-5.4
2.164,-5.6
2.168,-5.2
2.172,-5.2
2.176,-5
2.18,-5
2.184,-4.8
2.188,-4.6
2.192,-4.6
2.196,-4.6
2.2,-4.2
2.204,-4.2
2.208,-4.2
2.212,-4
2.216,-3.8
2.22,-3.8
2.224,-3.6
2.228,-3.6
2.232,-3.6
2.236,-3.6
2.24,-3.4
2.244,-3.8
2.248,-3.4
2.252,-3.2
2.256,-3.2
2.26,-3
2.264,-3.4
2.268,-3
2.272,-3.2
2.276,-3
2.28,-2.8
2.284,-2.8
2.288,-2.8
2.292,-2.8
2.296,-2.6
2.3,-2.4
2.304,-2.8
2.308,-2.4
2.312,-2.6
2.316,-2.4
2.32,-2.6
2.324,-2.4
2.328,-2.4
2.332,-2.2
2.336,-2.6
2.34,-2.6
2.344,-2.4
2.348,-2.8
2.352,-2.8
2.356,-3
2.36,-3.2
2.364,-3.6
2.368,-4.2
2.372,-4.6
2.376,-5
2.38,-5.6
2.384,-5.8
2.388,-6.2
2.392,-6.2
2.396,-6
2.4,-6.2
2.404,-5.8
2.408,-5.4
2.412,-5.2
2.416,-4.8
2.42,-4.4
2.424,-4
2.428,-3.4
2.432,-3.2
2.436,-2.8
2.44,-2.6
2.444,-2.4
2.448,-2.2
2.452,-1.8
2.456,-2
2.46,-1.8
2.464,-1.8
2.468,-1.6
2.472,-1.4
2.476,-1.4
2.48,-1.4
2.484,-1.4
2.488,-1.4
2.492,-1.2
2.496,-1.4
2.5,-1.2
2.504,-1.2
2.508,-1.4
2.512,-1.2
2.516,-1.2
2.52,-1.4
2.524,-1.4
2.528,-1.2
2.532,-1.2
2.536,-1.2
2.54,-1.4
2.544,-1.2
2.548,-1.4
2.552,-1.4
2.556,-1.4
2.56,-1.4
2.564,-1.4
2.568,-1.4
2.572,-1.4
2.576,-1.4
2.58,-1.4
2.584,-1.6
2.588,-1.8
2.592,-2.2
2.596,-2.2
2.6,-2.8
2.604,-3.2
2.608,-4.2
2.612,-4.8
2.616,-5.6
2.62,-6.6
2.624,-7.4
2.628,-8.2
2.632,-8.8
2.636,-9.2
2.64,-9.2
2.644,-9
2.648,-8.8
2.652,-8
2.656,-7.4
2.66,-6.8
2.664,-6
2.668,-5.4
2.672,-4.6
2.676,-4
2.68,-3.6
2.684,-3.2
2.688,-2.8
2.692,-2.4
2.696,-1.8
2.7,-1.6
2.704,-1.4
2.708,-1.2
2.712,-1
2.716,-1
2.72,-0.8
2.724,-0.8
2.728,-0.8
2.732,-0.8
2.736,-0.6
2.74,-0.6
2.744,-0.8
2.748,-0.8
2.752,-0.6
2.756,-0.6
2.76,-0.6
2.764,-0.8
2.768,-0.8
2.772,-0.6
2.776,-0.6
2.78,-0.6
2.784,-0.4
2.788,-0.6
2.792,-0.4
2.796,-0.6
2.8,-0.6
2.804,-0.4
2.808,-0.6
2.812,-0.4
2.816,-0.6
2.82,-0.4
2.824,-0.4
2.828,-0.4
2.832,-0.4
2.836,-0.4
2.84,-0.6
2.844,-0.4
2.848,-0.6
2.852,-0.4
2.856,-0.4
2.86,-0.4
2.864,-0.4
2.868,-0.4
2.872,-0.4
2.876,-0.4
2.88,-0.4
2.884,-0.4
2.888,-0.4
2.892,-0.4
2.896,-0.4
2.9,-0.4
2.904,-0.4
2.908,-0.4
2.912,-0.4
2.916,-0.4
2.92,-0.4
2.924,-0.4
2.928,-0.6
2.932,-0.4
2.936,-0.4
2.94,-0.4
2.944,-0.4
2.948,-0.4
2.952,-0.4
2.956,-0.4
2.96,-0.4
2.964,-0.4
2.968,-0.4
2.972,-0.4
2.976,-0.4
2.98,-0.2
2.984,-0.4
2.988,-0.4
2.992,-0.4
2.996,-0.4
3,-0.4
3.004,-0.4
3.008,-0.4
3.012,-0.4
3.016,-0.4
3.02,-0.4
3.024,-0.4
3.028,-0.2
3.032,-0.2
3.036,-0.2
3.04,-0.4
3.044,-0.4
3.048,-0.4
3.052,-0.4
3.056,-0.4
3.06,-0.4
3.064,-0.2
3.068,-0.4
3.072,-0.2
3.076,-0.4
3.08,-0.4
3.084,-0.2
3.088,-0.2
3.092,-0.2
3.096,-0.2
3.1,-0.2
3.104,-0.4
3.108,-0.2
3.112,0
3.116,-0.2
3.12,-0.2
3.124,-0.4
3.128,-0.2
3.132,-0.4
3.136,-0.4
3.14,-0.4
3.144,-0.4
3.148,-0.2
3.152,-0.4
3.156,-0.2
3.16,-0.2
3.164,-0.2
3.168,-0.2
3.172,-0.2
3.176,0
3.18,-0.4
3.184,-0.4
3.188,-0.2
3.192,-0.2
3.196,-0.2
